Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
IN,DL,,,5.00,IGST,7,0,0,
IN,MH,,,5.00,IGST,7,0,0,
IN,UP,,,2.5,SGST,7,0,0,
IN,AN,,,5.00,IGST,7,0,0,
IN,AP,,,5.00,IGST,7,0,0,
IN,AR,,,5.00,IGST,7,0,0,
IN,AS,,,5.00,IGST,7,0,0,
IN,BR,,,5.00,IGST,7,0,0,
IN,CH,,,5.00,IGST,7,0,0,
IN,CT,,,5.00,IGST,7,0,0,
IN,DD,,,5.00,IGST,7,0,0,
IN,DN,,,5.00,IGST,7,0,0,
IN,GA,,,5.00,IGST,7,0,0,
IN,GJ,,,5.00,IGST,7,0,0,
IN,HP,,,5.00,IGST,7,0,0,
IN,HR,,,5.00,IGST,7,0,0,
IN,JH,,,5.00,IGST,7,0,0,
IN,JK,,,5.00,IGST,7,0,0,
IN,KA,,,5.00,IGST,7,0,0,
IN,KL,,,5.00,IGST,7,0,0,
IN,LD,,,5.00,IGST,7,0,0,
IN,ML,,,5.00,IGST,7,0,0,
IN,MN,,,5.00,IGST,7,0,0,
IN,MP,,,5.00,IGST,7,0,0,
IN,MZ,,,5.00,IGST,7,0,0,
IN,NL,,,5.00,IGST,7,0,0,
IN,OR,,,5.00,IGST,7,0,0,
IN,PB,,,5.00,IGST,7,0,0,
IN,PY,,,5.00,IGST,7,0,0,
IN,RJ,,,5.00,IGST,7,0,0,
IN,SK,,,5.00,IGST,7,0,0,
IN,TG,,,5.00,IGST,7,0,0,
IN,TN,,,5.00,IGST,7,0,0,
IN,TR,,,5.00,IGST,7,0,0,
IN,TS,,,5.00,IGST,7,0,0,
IN,UK,,,5.00,IGST,7,0,0,
IN,WB,,,5.00,IGST,7,0,0,
IN,UP,,,2.5,CGST,6,0,0,
